date,open,high,low,close,contract_code,VOLUME
2007-02-02,1646,1658,1616,1620,307,704
2007-02-05,1600,1640,1597,1640,307,709
2007-02-06,1640,1660,1636,1652,307,1300
2007-02-07,1675,1702,1663,1701,307,1799
2007-02-08,1710,1730,1701,1729,307,1238
2007-02-09,1718,1725,1701,1714,307,662
2007-02-12,1708,1727,1700,1722,307,593
2007-02-13,1726,1738,1706,1723,307,491
2007-02-14,1718,1718,1685,1714,307,47
2007-02-15,1722,1769,1715,1758,307,20
2007-02-16,1765,1788,1757,1766,307,10
2007-02-20,1760,1763,1735,1745,307,16
2007-02-21,1740,1763,1740,1763,307,11
2007-02-22,1740,1756,1730,1740,307,1
2007-02-23,1760,1763,1727,1762,307,1
2007-02-26,1763,1763,1735,1738,307,1
2007-02-27,1735,1738,1720,1720,307,7
2007-03-05,1784,1784,1719,1769,307,19
2007-03-06,1782,1783,1710,1710,307,13
2007-03-07,1701,1740,1696,1740,307,4
2007-03-08,1739,1772,1739,1772,307,1
2007-03-09,1779,1780,1778,1778,307,2
2007-03-12,1771,1791,1766,1775,307,65
2007-03-13,1797,1797,1780,1790,307,13
2007-03-16,1779,1800,1766,1780,507,4730
2007-03-19,1780,1805,1771,1800,507,2421
2007-03-20,1800,1871,1793,1871,507,10524
2007-03-21,1870,1914,1868,1904,507,6842
2007-03-22,1900,1927,1878,1919,507,5072
2007-03-23,1908,1924,1895,1917,507,4108
2007-03-26,1920,1942,1901,1927,507,3873
2007-03-27,1922,1926,1889,1900,507,3728
2007-03-28,1896,1941,1888,1929,507,5462
2007-03-29,1926,1966,1918,1932,507,4243
2007-03-30,1928,1969,1920,1942,507,5013
2007-04-02,1953,1955,1824,1843,507,12116
2007-04-03,1847,1882,1831,1876,507,5131
2007-04-04,1873,1909,1870,1905,507,4628
2007-04-05,1901,1929,1898,1911,507,3352
2007-04-09,1910,1910,1876,1877,507,1804
2007-04-10,1885,1918,1876,1882,507,1193
2007-04-11,1885,1920,1885,1897,507,2219
2007-04-12,1900,1900,1852,1884,507,3606
2007-04-13,1881,1905,1853,1902,507,3585
2007-04-16,1900,1917,1893,1898,507,1892
2007-04-17,1900,1965,1897,1964,507,512
2007-04-18,1958,2000,1930,1935,507,293
2007-04-19,1935,1935,1838,1853,507,410
2007-04-20,1845,1895,1810,1887,507,89
2007-04-23,1874,1888,1849,1865,507,34
2007-04-24,1850,1850,1817,1840,507,115
2007-04-25,1813,1858,1812,1845,507,104
2007-04-26,1870,1893,1819,1823,507,186
2007-04-27,1830,1850,1820,1822,507,51
2007-04-30,1808,1824,1798,1815,507,39
2007-05-01,1790,1855,1790,1851,507,55
2007-05-03,1880,1908,1880,1901,507,10
2007-05-04,1892,1893,1883,1883,507,20
2007-05-07,1896,1896,1883,1883,507,1
2007-05-09,1900,1949,1900,1949,507,28
2007-05-10,1973,1977,1942,1942,507,24
2007-05-14,1970,1970,1950,1958,507,9
2007-05-16,1895,1920,1884,1895,707,3048
2007-05-17,1900,1912,1890,1892,707,2455
2007-05-18,1899,1958,1884,1953,707,6078
2007-05-21,1950,1958,1926,1945,707,3254
2007-05-22,1945,1968,1912,1923,707,4699
2007-05-23,1923,1980,1915,1968,707,5574
2007-05-24,1971,1985,1922,1947,707,6770
2007-05-25,1943,1965,1910,1916,707,3459
2007-05-29,1928,1934,1895,1897,707,3624
2007-05-30,1900,1900,1868,1872,707,5273
2007-05-31,1882,1899,1866,1887,707,5313
2007-06-01,1888,1900,1855,1876,707,9600
2007-06-04,1879,1880,1849,1856,707,4430
2007-06-05,1856,1896,1853,1887,707,4233
2007-06-06,1882,1900,1863,1878,707,3558
2007-06-07,1882,1882,1836,1842,707,4552
2007-06-08,1836,1853,1818,1821,707,3441
2007-06-11,1845,1845,1816,1839,707,2896
2007-06-12,1838,1854,1823,1838,707,3189
2007-06-13,1836,1850,1830,1840,707,1701
2007-06-14,1844,1912,1827,1906,707,5211
2007-06-15,1903,1927,1898,1900,707,1166
2007-06-18,1909,1962,1899,1961,707,162
2007-06-19,1953,1970,1940,1957,707,105
2007-06-20,1947,1950,1920,1933,707,263
2007-06-21,1920,1940,1916,1934,707,26
2007-06-22,1948,1959,1940,1954,707,27
2007-06-25,1965,1966,1952,1952,707,16
2007-06-26,1980,2022,1980,2022,707,38
2007-06-27,2011,2030,2011,2020,707,15
2007-06-28,2015,2033,2010,2032,707,13
2007-06-29,2025,2075,2025,2060,707,19
2007-07-02,2069,2073,2043,2043,707,29
2007-07-03,2058,2066,2058,2066,707,4
2007-07-05,2085,2127,2085,2121,707,9
2007-07-06,2124,2140,2113,2128,707,96
2007-07-09,2143,2143,2096,2096,707,9
2007-07-10,2080,2080,2025,2025,707,39
2007-07-11,2031,2074,2031,2065,707,18
2007-07-12,2072,2081,2060,2081,707,17
2007-07-17,2054,2118,2054,2093,907,6928
2007-07-18,2090,2099,2070,2091,907,3753
2007-07-19,2092,2119,2072,2112,907,3559
2007-07-20,2114,2120,2095,2095,907,3384
2007-07-23,2095,2095,2056,2063,907,4183
2007-07-24,2055,2114,2042,2098,907,6145
2007-07-25,2100,2100,2055,2060,907,4360
2007-07-26,2060,2068,2000,2005,907,8720
2007-07-27,2005,2015,1906,1947,907,18344
2007-07-30,1950,1953,1918,1930,907,5228
2007-07-31,1931,1948,1900,1945,907,6341
2007-08-01,1945,1945,1905,1915,907,5925
2007-08-02,1917,1943,1905,1913,907,4349
2007-08-03,1917,1928,1885,1894,907,5828
2007-08-06,1900,1900,1858,1861,907,6587
2007-08-07,1869,1880,1820,1827,907,7065
2007-08-08,1830,1888,1830,1869,907,6146
2007-08-09,1869,1873,1812,1825,907,4828
2007-08-10,1821,1839,1802,1835,907,2085
2007-08-13,1835,1865,1822,1858,907,1203
2007-08-14,1860,1875,1845,1849,907,1618
2007-08-15,1849,1880,1831,1871,907,1989
2007-08-16,1879,1879,1782,1782,907,1152
2007-08-17,1783,1812,1771,1780,907,679
2007-08-20,1792,1825,1766,1774,907,339
2007-08-21,1780,1800,1780,1800,907,37
2007-08-22,1799,1799,1763,1774,907,10
2007-08-23,1802,1823,1800,1823,907,7
2007-08-24,1820,1850,1814,1840,907,13
2007-08-27,1835,1835,1810,1810,907,10
2007-08-28,1810,1826,1810,1823,907,10
2007-08-29,1823,1850,1809,1825,907,2
2007-08-31,1868,1868,1860,1868,907,6
2007-09-04,1833,1844,1821,1821,907,3
2007-09-06,1900,1900,1874,1884,907,18
2007-09-07,1900,1900,1877,1877,907,20
2007-09-10,1902,1930,1902,1914,907,24
2007-09-11,1900,1900,1876,1896,907,2
2007-09-14,1805,1848,1795,1836,1207,4158
2007-09-17,1837,1885,1819,1868,1207,6513
2007-09-18,1864,1888,1850,1882,1207,3893
2007-09-19,1884,1904,1858,1904,1207,6861
2007-09-20,1905,1978,1900,1971,1207,10959
2007-09-21,1972,2000,1941,1983,1207,11014
2007-09-24,1979,2020,1973,2010,1207,8723
2007-09-25,2006,2046,1990,2042,1207,7918
2007-09-26,2042,2053,2028,2043,1207,5574
2007-09-27,2045,2054,2005,2028,1207,6318
2007-09-28,2033,2055,2015,2027,1207,6069
2007-10-01,2036,2045,2007,2026,1207,6935
2007-10-02,2030,2030,1904,1909,1207,13266
2007-10-03,1907,1916,1852,1886,1207,9394
2007-10-04,1881,1904,1866,1879,1207,5385
2007-10-05,1875,1882,1850,1850,1207,4886
2007-10-08,1850,1850,1810,1816,1207,5786
2007-10-09,1815,1843,1814,1825,1207,3813
2007-10-10,1823,1842,1821,1839,1207,3762
2007-10-11,1835,1867,1830,1856,1207,3772
2007-10-12,1855,1855,1815,1838,1207,3858
2007-10-15,1837,1883,1829,1856,1207,3486
2007-10-16,1857,1883,1848,1878,1207,3835
2007-10-17,1870,1899,1853,1881,1207,4704
2007-10-18,1875,1897,1865,1882,1207,4025
2007-10-19,1881,1887,1861,1880,1207,3622
2007-10-22,1880,1890,1835,1840,1207,4545
2007-10-23,1845,1864,1837,1860,1207,3392
2007-10-24,1852,1857,1830,1834,1207,3180
2007-10-25,1830,1838,1823,1826,1207,3044
2007-10-26,1825,1920,1825,1905,1207,7121
2007-10-29,1900,1970,1881,1960,1207,8402
2007-10-30,1951,1977,1935,1949,1207,3910
2007-10-31,1938,1967,1928,1948,1207,5799
2007-11-01,1941,2003,1932,1972,1207,7115
2007-11-02,1974,1998,1959,1964,1207,3682
2007-11-05,1969,1969,1920,1929,1207,5271
2007-11-06,1929,1955,1923,1942,1207,5206
2007-11-07,1937,1976,1936,1950,1207,7780
2007-11-08,1956,1969,1939,1944,1207,7147
2007-11-09,1941,1950,1915,1927,1207,2459
2007-11-12,1918,1918,1870,1877,1207,3893
2007-11-13,1876,1889,1871,1883,1207,4887
2007-11-14,1882,1905,1865,1889,1207,3199
2007-11-15,1885,1894,1868,1892,1207,317
2007-11-16,1891,1913,1889,1905,1207,78
2007-11-19,1905,1906,1878,1878,1207,21
2007-11-20,1894,1952,1894,1939,1207,52
2007-11-21,1941,1941,1914,1914,1207,21
2007-11-26,1900,1912,1893,1901,1207,25
2007-11-27,1896,1904,1896,1903,1207,1
2007-11-28,1890,1921,1890,1910,1207,6
2007-11-29,1913,1978,1908,1969,1207,248
2007-11-30,1967,1991,1967,1978,1207,160
2007-12-03,1974,2057,1974,2057,1207,55
2007-12-04,2075,2117,2075,2117,1207,3
2007-12-05,2127,2144,2127,2133,1207,157
2007-12-06,2152,2155,2152,2155,1207,1
2007-12-07,2141,2152,2115,2152,1207,327
