-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2007 through 12/31/2025 in LST
Location: Latitude  5.3953   Longitude -4.1422 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 42.02 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
GWETROOT        MERRA-2 Root Zone Soil Wetness (1) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
-END HEADER-
PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
GWETROOT,2007,0.39,0.4,0.44,0.51,0.54,0.62,0.58,0.53,0.48,0.49,0.51,0.47,0.5
GWETROOT,2008,0.42,0.39,0.46,0.5,0.56,0.6,0.6,0.52,0.49,0.49,0.49,0.46,0.5
GWETROOT,2009,0.42,0.43,0.48,0.51,0.59,0.69,0.74,0.62,0.5,0.45,0.48,0.45,0.53
GWETROOT,2010,0.41,0.41,0.48,0.5,0.58,0.69,0.7,0.59,0.55,0.57,0.59,0.52,0.55
GWETROOT,2011,0.47,0.47,0.54,0.55,0.58,0.65,0.63,0.51,0.48,0.57,0.55,0.49,0.54
GWETROOT,2012,0.42,0.4,0.42,0.46,0.53,0.62,0.61,0.48,0.43,0.5,0.53,0.52,0.49
GWETROOT,2013,0.44,0.41,0.47,0.51,0.59,0.7,0.6,0.49,0.46,0.46,0.5,0.5,0.51
GWETROOT,2014,0.44,0.43,0.47,0.55,0.63,0.74,0.78,0.63,0.55,0.53,0.51,0.48,0.56
GWETROOT,2015,0.42,0.45,0.52,0.6,0.64,0.8,0.75,0.6,0.49,0.51,0.6,0.55,0.58
GWETROOT,2016,0.45,0.4,0.44,0.48,0.52,0.64,0.57,0.47,0.46,0.52,0.54,0.53,0.5
GWETROOT,2017,0.49,0.47,0.48,0.52,0.56,0.67,0.68,0.55,0.5,0.56,0.6,0.56,0.55
GWETROOT,2018,0.47,0.45,0.51,0.51,0.53,0.58,0.6,0.51,0.52,0.54,0.56,0.51,0.52
GWETROOT,2019,0.44,0.43,0.44,0.53,0.58,0.62,0.6,0.5,0.51,0.63,0.68,0.61,0.55
GWETROOT,2020,0.5,0.43,0.47,0.53,0.56,0.66,0.67,0.52,0.49,0.57,0.64,0.6,0.55
GWETROOT,2021,0.58,0.53,0.54,0.55,0.56,0.6,0.67,0.58,0.61,0.66,0.67,0.6,0.6
GWETROOT,2022,0.55,0.47,0.46,0.53,0.63,0.72,0.78,0.65,0.58,0.59,0.62,0.58,0.6
GWETROOT,2023,0.48,0.46,0.52,0.6,0.7,0.85,0.87,0.76,0.65,0.65,0.68,0.62,0.65
GWETROOT,2024,0.53,0.45,0.48,0.49,0.54,0.59,0.54,0.45,0.42,0.6,0.69,0.58,0.53
GWETROOT,2025,0.5,0.47,0.47,0.49,0.53,0.62,0.58,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0
PRECTOTCORR,2007,0.29,1.9,3.63,4.19,4.91,6.86,4.83,1.38,2.49,4.46,2.58,1.37,3.24
PRECTOTCORR,2008,0.58,0.9,4.15,4.83,4.8,6.58,3.63,1.92,2.81,3.34,3.2,1.23,3.16
