date,cc_close_m,c_usd_close_m,ret_cc_m,ret_c_usd_m,ret_spread_m,precip_mm,gwetroot,t2m_max,month
2011-02-28,3766.0,3851.231527328491,,,,127.12,0.47,34.74,2011-02
2011-03-31,2946.0,3078.1841266155243,-0.2177376526818906,-0.20072732455252096,-0.02114057769456737,134.23,0.54,31.91,2011-03
2011-04-30,3416.0,3288.378220796585,0.15953835709436515,0.06828509456715648,0.0926583252548379,127.8,0.55,32.73,2011-04
2011-05-31,3000.0,3033.75057220459,-0.12177985948477754,-0.07743259184167495,-0.04594055310884161,164.60999999999999,0.58,31.67,2011-05
2011-06-30,3146.0,3141.226589202881,0.048666666666666636,0.035426780956546944,0.01396884200427808,227.7,0.65,29.74,2011-06
2011-07-31,2973.0,3031.4437704086304,-0.0549904640813732,-0.03494902888304818,-0.020760561065568485,85.25,0.63,28.82,2011-07
2011-08-31,3095.0,3157.1565799713135,0.04103599058190377,0.04146961615776146,0.0004196706282657073,33.480000000000004,0.51,29.95,2011-08
2011-09-30,2605.0,2650.3394446372986,-0.15831987075928922,-0.16052961660160037,-0.0010933788351496776,132.0,0.48,31.23,2011-09
2011-10-31,2685.0,2695.5176144838333,0.030710172744721653,0.017046182494830253,0.014014739645841885,214.82999999999998,0.57,29.82,2011-10
2011-11-30,2221.0,2246.104316711426,-0.17281191806331475,-0.16672615877469088,-0.009516386615129574,78.89999999999999,0.55,30.65,2011-11
2011-12-31,2107.0,2127.397291660309,-0.0513282305267897,-0.05285018338993208,0.00043448533746541507,47.12,0.49,32.65,2011-12
2012-01-31,2307.0,2351.555155277252,0.09492168960607494,0.10536718482047203,-0.008277415854693396,9.61,0.42,34.83,2012-01
2012-02-29,2396.0,2354.87056016922,0.03857824013870825,0.0014098775801738572,0.03719737279057668,51.04,0.4,33.58,2012-02
2012-03-31,2221.0,2333.226799964905,-0.07303839732888151,-0.009191061526014344,-0.06403645493727576,69.13,0.42,35.28,2012-03
2012-04-30,2242.0,2396.613441467285,0.009455200360198202,0.027166943866465898,-0.017152745082199813,121.79999999999998,0.46,32.25,2012-04
2012-05-31,2077.0,2277.548288822174,-0.07359500446030331,-0.04968058285286736,-0.024936670103918736,199.95000000000002,0.53,30.81,2012-05
2012-06-30,2291.0,2504.655437707901,0.10303322099181522,0.09971562403323375,0.0053693874346654735,226.5,0.62,29.77,2012-06
2012-07-31,2370.0,2559.710860848427,0.034482758620689724,0.02198123634559046,0.012953817407619344,42.470000000000006,0.61,28.69,2012-07
2012-08-31,2668.0,2662.245446205139,0.1257383966244725,0.0400570966529894,0.08650553158221633,23.87,0.48,30.56,2012-08
2012-09-30,2497.0,2647.598340153694,-0.0640929535232384,-0.0055017864984325815,-0.05870437408988089,69.3,0.43,32.05,2012-09
2012-10-31,2379.0,2488.345899581909,-0.047256708049659646,-0.06014977353496165,0.011655398533165079,197.47,0.5,31.11,2012-10
2012-11-30,2536.0,2555.341726899147,0.06599411517444298,0.026923840181742653,0.03962427121345402,118.5,0.53,31.47,2012-11
2012-12-31,2232.0,2319.379190802574,-0.11987381703470035,-0.092340892653488,-0.029432969293295294,77.80999999999999,0.52,32.05,2012-12
2013-01-31,2196.0,2255.9241127967834,-0.016129032258064502,-0.02735864763184037,0.010666672372678675,8.06,0.44,35.61,2013-01
2013-02-28,2141.0,2137.1149961948395,-0.025045537340619317,-0.05266538707042334,0.026536184650654965,52.080000000000005,0.41,35.07,2013-02
2013-03-31,2167.0,2219.431812286377,0.01214385801027551,0.03851772891870753,-0.025581313973428034,122.45,0.47,34.29,2013-03
2013-04-30,2322.0,2392.3149700164795,0.07152745731425925,0.07789523281276423,-0.004764970538228067,135.9,0.51,31.85,2013-04
2013-05-31,2191.0,2270.65063226223,-0.056416881998277324,-0.05085632087710068,-0.006607002096058676,276.21,0.59,30.42,2013-05
2013-06-30,2210.0,2197.1985054016113,0.00867183934276583,-0.032348493342385654,0.040354716527211655,180.29999999999998,0.7,29.03,2013-06
2013-07-31,2298.0,2396.0492749214172,0.03981900452488696,0.09050195921349369,-0.04882074844177724,56.730000000000004,0.6,28.21,2013-07
2013-08-31,2400.0,2541.518672466278,0.044386422976501416,0.06071218946431389,-0.015076527029775591,21.389999999999997,0.49,30.24,2013-08
2013-09-30,2632.0,2760.0368485450745,0.09666666666666668,0.08597937069915274,0.012456443537421563,83.7,0.46,31.35,2013-09
2013-10-31,2666.0,2719.6384621858597,0.012917933130699,-0.014636901090835264,0.027253659209606845,104.78,0.46,31.68,2013-10
2013-11-30,2793.0,2836.7867698669434,0.04763690922730679,0.04307495621566115,0.005448281365681436,150.9,0.5,31.49,2013-11
2013-12-31,2707.0,2853.6554384231567,-0.030791263873970687,0.005946399897023058,-0.036615308154268805,69.13,0.5,33.02,2013-12
2014-01-31,2892.0,3042.3018774986267,0.0683413372737347,0.06610694358380931,0.00359463786994553,26.349999999999998,0.44,33.2,2014-01
2014-02-28,2939.0,3067.9866478443146,0.01625172890733051,0.008442544947842467,0.007982901303042158,61.60000000000001,0.43,34.28,2014-02
2014-03-31,2945.0,3107.4198536872864,0.0020415107179312386,0.012853121727462335,-0.010547139789458641,131.13000000000002,0.47,32.79,2014-03
2014-04-30,2981.0,3087.250571846962,0.012224108658743571,-0.006490684487450715,0.01858123810159888,214.2,0.55,32.18,2014-04
2014-05-31,3059.0,3261.251127719879,0.02616571620261654,0.05636100854904713,-0.02903558461071124,189.41,0.63,30.91,2014-05
2014-06-30,3153.0,3371.035472869873,0.030728996404053577,0.03366326015707655,-0.00224159440201728,316.5,0.74,29.48,2014-06
2014-07-31,3210.0,3414.164108991623,0.01807802093244537,0.012793883798865258,0.005547389449204075,128.03,0.78,28.54,2014-07
2014-08-31,3250.0,3412.4654854536057,0.012461059190031154,-0.0004975225219970847,0.012948344480078202,53.63,0.63,29.04,2014-08
2014-09-30,3294.0,3427.104983329773,0.0135384615384615,0.004290006137372293,0.009336728365535268,104.10000000000001,0.55,29.28,2014-09
2014-10-31,2900.0,3056.1956310272217,-0.11961141469338188,-0.10822818504444409,-0.013610178148443106,99.82000000000001,0.53,30.61,2014-10
2014-11-30,2867.0,3025.4425044059753,-0.011379310344827531,-0.010062551725757762,-0.001523809901114911,111.3,0.51,31.21,2014-11
2014-12-31,2919.0,3082.671489715576,0.018137425880711655,0.018915905764613772,-0.0003892582782548254,55.49,0.48,32.65,2014-12
2015-01-31,2682.0,2872.5667583942413,-0.08119218910585813,-0.06815670499509507,-0.01443790504074284,19.84,0.42,33.38,2015-01
